keywords,logged,source,event_id,task_category
Audit Success,3/19/2026 12:45,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 0:57,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 23:16,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 12:21,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 0:32,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/16/2026 22:45,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/18/2026 21:03,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 12:35,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/16/2026 22:19,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 1:33,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/15/2026 20:31,Microsoft Windows security,4624,Logon
Audit Success,3/16/2026 15:17,Microsoft Windows security,4672,Special Logon
Audit Success,3/19/2026 0:56,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 17:56,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/21/2026 0:24,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/18/2026 14:06,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 17:25,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 4:07,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 15:46,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/15/2026 6:04,Microsoft Windows security,4624,Logon
Audit Success,3/19/2026 1:01,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 1:00,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 20:19,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 2:45,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/18/2026 8:10,Microsoft Windows security,4672,Special Logon
Audit Success,3/20/2026 0:32,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/20/2026 13:59,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/18/2026 22:09,Microsoft Windows security,4624,Logon
Audit Success,3/19/2026 21:26,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 12:07,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 8:21,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 13:09,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/18/2026 21:03,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 1:28,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 15:48,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/18/2026 0:05,Microsoft Windows security,4672,Special Logon
Audit Success,3/19/2026 0:56,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 2:56,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/20/2026 16:33,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/18/2026 21:03,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 15:48,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 1:56,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 0:42,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 11:52,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 23:11,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/20/2026 1:00,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 10:40,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 23:22,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 19:34,Microsoft Windows security,4672,Special Logon
Audit Success,3/18/2026 11:16,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 12:43,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 11:22,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 16:20,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/18/2026 11:51,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 9:03,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/18/2026 21:16,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 16:58,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 11:22,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 17:16,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 1:05,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 3:41,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/20/2026 12:15,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 3:08,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 15:53,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 9:39,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/18/2026 1:47,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/16/2026 23:56,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 5:37,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/16/2026 23:29,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 1:55,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/20/2026 14:32,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 17:16,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 1:55,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 3:41,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/15/2026 13:59,Microsoft Windows security,4624,Logon
Audit Success,3/17/2026 23:30,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 16:15,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 23:12,Microsoft Windows security,4672,Special Logon
Audit Success,3/20/2026 0:31,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 10:02,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 10:12,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/20/2026 14:48,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 11:56,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 0:57,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 11:33,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/19/2026 12:23,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/18/2026 15:51,Microsoft Windows security,4624,Logon
Audit Success,3/18/2026 21:46,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/17/2026 8:22,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/21/2026 0:24,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/19/2026 12:54,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/16/2026 23:37,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/18/2026 14:06,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/20/2026 16:02,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 3:56,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/17/2026 17:35,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/15/2026 20:32,Microsoft Windows security,4672,Special Logon
Audit Success,3/17/2026 8:37,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/19/2026 21:33,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/18/2026 12:01,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 10:52,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/20/2026 0:31,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 8:26,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 1:36,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/20/2026 13:08,Microsoft-Windows-Security-Auditing,4672,Special Logon
Audit Success,3/21/2026 0:50,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/16/2026 22:45,Microsoft-Windows-Security-Auditing,4624,Logon
Audit Success,3/16/2026 21:29,Microsoft Windows security,4672,Special Logon
Audit Success,3/19/2026 9:55,Microsoft-Windows-Security-Auditing,5379,User Account Management
Audit Success,3/17/2026 23:18,Microsoft-Windows-Security-Auditing,4624,Logon
